step,Sick State Simulation-healthy_num,Sick State Simulation-healthy_coverage,Sick State Simulation-recovered_num,Sick State Simulation-recovered_coverage,Sick State Simulation-infected_num,Sick State Simulation-infected_coverage
1,995,0.995,1,0.001,4,0.004
2,993,0.993,1,0.001,6,0.006
3,991,0.991,3,0.003,6,0.006
4,988,0.988,4,0.004,8,0.008
5,988,0.988,5,0.005,7,0.007
6,987,0.987,5,0.005,8,0.008
7,987,0.987,6,0.006,7,0.007
8,987,0.987,6,0.006,7,0.007
9,987,0.987,6,0.006,7,0.007
10,987,0.987,7,0.007,6,0.006
11,985,0.985,8,0.008,7,0.007
12,984,0.984,7,0.007,9,0.009
13,980,0.98,7,0.007,13,0.013
14,977,0.977,7,0.007,16,0.016
15,976,0.976,9,0.009,15,0.015
16,972,0.972,10,0.01,18,0.018
17,967,0.967,11,0.011,22,0.022
18,962,0.962,12,0.012,26,0.026
19,958,0.958,15,0.015,27,0.027
20,947,0.947,18,0.018,35,0.035
21,936,0.936,23,0.023,41,0.041
22,923,0.923,26,0.026,51,0.051
23,903,0.903,32,0.032,65,0.065
24,887,0.887,38,0.038,75,0.075
25,871,0.871,49,0.049,80,0.08
26,851,0.851,54,0.054,95,0.095
27,830,0.83,59,0.059,111,0.111
28,804,0.804,73,0.073,123,0.123
29,785,0.785,79,0.079,136,0.136
30,774,0.774,85,0.085,141,0.141
31,752,0.752,93,0.093,155,0.155
32,734,0.734,114,0.114,152,0.152
33,719,0.719,125,0.125,156,0.156
34,707,0.707,139,0.139,154,0.154
35,690,0.69,150,0.15,160,0.16
36,674,0.674,167,0.167,159,0.159
37,658,0.658,177,0.177,165,0.165
38,642,0.642,189,0.189,169,0.169
39,626,0.626,206,0.206,168,0.168
40,611,0.611,220,0.22,169,0.169
41,596,0.596,235,0.235,169,0.169
42,572,0.572,245,0.245,183,0.183
43,556,0.556,251,0.251,193,0.193
44,541,0.541,263,0.263,196,0.196
45,526,0.526,284,0.284,190,0.19
46,517,0.517,298,0.298,185,0.185
47,504,0.504,304,0.304,192,0.192
48,486,0.486,314,0.314,200,0.2
49,474,0.474,324,0.324,202,0.202
50,459,0.459,345,0.345,196,0.196
51,450,0.45,363,0.363,187,0.187
52,438,0.438,368,0.368,194,0.194
53,430,0.43,378,0.378,192,0.192
54,425,0.425,394,0.394,181,0.181
55,419,0.419,401,0.401,180,0.18
56,417,0.417,407,0.407,176,0.176
57,409,0.409,419,0.419,172,0.172
58,407,0.407,431,0.431,162,0.162
59,399,0.399,439,0.439,162,0.162
60,394,0.394,447,0.447,159,0.159
61,388,0.388,458,0.458,154,0.154
62,382,0.382,468,0.468,150,0.15
63,375,0.375,480,0.48,145,0.145
64,370,0.37,485,0.485,145,0.145
65,364,0.364,492,0.492,144,0.144
66,361,0.361,496,0.496,143,0.143
67,359,0.359,503,0.503,138,0.138
68,355,0.355,516,0.516,129,0.129
69,352,0.352,531,0.531,117,0.117
70,347,0.347,542,0.542,111,0.111
71,344,0.344,557,0.557,99,0.099
72,340,0.34,564,0.564,96,0.096
73,338,0.338,563,0.563,99,0.099
74,334,0.334,570,0.57,96,0.096
75,332,0.332,574,0.574,94,0.094
76,331,0.331,573,0.573,96,0.096
77,329,0.329,579,0.579,92,0.092
78,324,0.324,578,0.578,98,0.098
79,322,0.322,580,0.58,98,0.098
80,320,0.32,590,0.59,90,0.09
81,319,0.319,595,0.595,86,0.086
82,317,0.317,597,0.597,86,0.086
83,317,0.317,604,0.604,79,0.079
84,317,0.317,606,0.606,77,0.077
85,314,0.314,613,0.613,73,0.073
86,311,0.311,610,0.61,79,0.079
87,309,0.309,612,0.612,79,0.079
88,307,0.307,616,0.616,77,0.077
89,306,0.306,626,0.626,68,0.068
90,303,0.303,629,0.629,68,0.068
91,301,0.301,632,0.632,67,0.067
92,297,0.297,636,0.636,67,0.067
93,296,0.296,637,0.637,67,0.067
94,294,0.294,642,0.642,64,0.064
95,290,0.29,638,0.638,72,0.072
96,289,0.289,646,0.646,65,0.065
97,286,0.286,649,0.649,65,0.065
98,284,0.284,654,0.654,62,0.062
99,283,0.283,656,0.656,61,0.061
100,283,0.283,655,0.655,62,0.062
101,282,0.282,663,0.663,55,0.055
102,282,0.282,667,0.667,51,0.051
103,282,0.282,667,0.667,51,0.051
104,281,0.281,671,0.671,48,0.048
105,280,0.28,672,0.672,48,0.048
106,279,0.279,671,0.671,50,0.05
107,278,0.278,679,0.679,43,0.043
108,276,0.276,682,0.682,42,0.042
109,276,0.276,685,0.685,39,0.039
110,276,0.276,687,0.687,37,0.037
111,276,0.276,687,0.687,37,0.037
