step,Sick State Simulation-healthy_num,Sick State Simulation-healthy_coverage,Sick State Simulation-infected_num,Sick State Simulation-infected_coverage,Sick State Simulation-recovered_num,Sick State Simulation-recovered_coverage
1,972,0.972,16,0.016,12,0.012
2,960,0.96,27,0.027,13,0.013
3,937,0.937,48,0.048,15,0.015
4,891,0.891,88,0.088,21,0.021
5,828,0.828,140,0.14,32,0.032
6,743,0.743,208,0.208,49,0.049
7,611,0.611,319,0.319,70,0.07
8,502,0.502,395,0.395,103,0.103
9,397,0.397,465,0.465,138,0.138
10,309,0.309,519,0.519,172,0.172
11,245,0.245,531,0.531,224,0.224
12,181,0.181,555,0.555,264,0.264
13,127,0.127,553,0.553,320,0.32
14,96,0.096,534,0.534,370,0.37
15,70,0.07,516,0.516,414,0.414
16,51,0.051,503,0.503,446,0.446
17,42,0.042,487,0.487,471,0.471
18,34,0.034,458,0.458,508,0.508
19,24,0.024,452,0.452,524,0.524
20,22,0.022,432,0.432,546,0.546
21,20,0.02,407,0.407,573,0.573
22,19,0.019,394,0.394,587,0.587
23,17,0.017,375,0.375,608,0.608
24,15,0.015,375,0.375,610,0.61
25,14,0.014,355,0.355,631,0.631
26,13,0.013,332,0.332,655,0.655
27,12,0.012,318,0.318,670,0.67
28,8,0.008,295,0.295,697,0.697
29,8,0.008,283,0.283,709,0.709
30,7,0.007,284,0.284,709,0.709
31,5,0.005,270,0.27,725,0.725
32,5,0.005,260,0.26,735,0.735
33,3,0.003,255,0.255,742,0.742
34,3,0.003,249,0.249,748,0.748
35,3,0.003,237,0.237,760,0.76
36,2,0.002,236,0.236,762,0.762
37,2,0.002,224,0.224,774,0.774
38,2,0.002,218,0.218,780,0.78
39,1,0.001,216,0.216,783,0.783
40,1,0.001,215,0.215,784,0.784
41,1,0.001,210,0.21,789,0.789
42,1,0.001,195,0.195,804,0.804
43,1,0.001,202,0.202,797,0.797
44,1,0.001,191,0.191,808,0.808
45,1,0.001,186,0.186,813,0.813
46,1,0.001,179,0.179,820,0.82
47,1,0.001,170,0.17,829,0.829
48,1,0.001,177,0.177,822,0.822
49,,,181,0.181,819,0.819
50,,,183,0.183,817,0.817
51,,,178,0.178,822,0.822
52,,,198,0.198,802,0.802
53,,,197,0.197,803,0.803
54,,,191,0.191,809,0.809
55,,,193,0.193,807,0.807
56,,,195,0.195,805,0.805
57,,,192,0.192,808,0.808
58,,,193,0.193,807,0.807
59,,,194,0.194,806,0.806
60,,,193,0.193,807,0.807
61,,,190,0.19,810,0.81
62,,,185,0.185,815,0.815
63,,,190,0.19,810,0.81
64,,,189,0.189,811,0.811
65,,,190,0.19,810,0.81
66,,,194,0.194,806,0.806
67,,,188,0.188,812,0.812
68,,,195,0.195,805,0.805
69,,,191,0.191,809,0.809
70,,,170,0.17,830,0.83
71,,,174,0.174,826,0.826
72,,,183,0.183,817,0.817
73,,,185,0.185,815,0.815
74,,,184,0.184,816,0.816
75,,,193,0.193,807,0.807
76,,,195,0.195,805,0.805
77,,,196,0.196,804,0.804
78,,,192,0.192,808,0.808
79,,,198,0.198,802,0.802
80,,,208,0.208,792,0.792
81,,,201,0.201,799,0.799
82,,,200,0.2,800,0.8
83,,,202,0.202,798,0.798
84,,,203,0.203,797,0.797
85,,,214,0.214,786,0.786
86,,,217,0.217,783,0.783
87,,,217,0.217,783,0.783
88,,,225,0.225,775,0.775
89,,,224,0.224,776,0.776
90,,,230,0.23,770,0.77
91,,,230,0.23,770,0.77
92,,,235,0.235,765,0.765
93,,,226,0.226,774,0.774
94,,,225,0.225,775,0.775
95,,,230,0.23,770,0.77
96,,,221,0.221,779,0.779
97,,,230,0.23,770,0.77
98,,,227,0.227,773,0.773
99,,,228,0.228,772,0.772
100,,,221,0.221,779,0.779
