step,information-uninformed_num,information-uninformed_coverage,information-informed_num,information-informed_coverage,information-disinformed_num,information-disinformed_coverage,information-informing_num,information-informing_coverage,information-disinforming_num,information-disinforming_coverage
1,976,0.976,14,0.014,10,0.01,,,,
2,976,0.976,14,0.014,10,0.01,,,,
3,976,0.976,13,0.013,9,0.009,1,0.001,1,0.001
4,974,0.974,12,0.012,10,0.01,3,0.003,1,0.001
5,973,0.973,14,0.014,12,0.012,1,0.001,,
6,973,0.973,13,0.013,11,0.011,2,0.002,1,0.001
7,972,0.972,12,0.012,13,0.013,3,0.003,,
8,970,0.97,18,0.018,11,0.011,,,1,0.001
9,969,0.969,17,0.017,12,0.012,1,0.001,1,0.001
10,966,0.966,18,0.018,14,0.014,1,0.001,1,0.001
11,966,0.966,17,0.017,14,0.014,2,0.002,1,0.001
12,965,0.965,19,0.019,16,0.016,,,,
13,965,0.965,18,0.018,15,0.015,1,0.001,1,0.001
14,964,0.964,19,0.019,15,0.015,,,2,0.002
15,963,0.963,19,0.019,17,0.017,,,1,0.001
16,963,0.963,19,0.019,18,0.018,,,,
17,963,0.963,18,0.018,18,0.018,1,0.001,,
18,963,0.963,19,0.019,16,0.016,,,2,0.002
19,961,0.961,19,0.019,19,0.019,,,1,0.001
20,961,0.961,19,0.019,19,0.019,,,1,0.001
21,960,0.96,18,0.018,21,0.021,1,0.001,,
22,960,0.96,16,0.016,20,0.02,3,0.003,1,0.001
23,937,0.937,40,0.04,21,0.021,1,0.001,1,0.001
24,937,0.937,40,0.04,22,0.022,1,0.001,,
25,936,0.936,41,0.041,22,0.022,1,0.001,,
26,936,0.936,41,0.041,21,0.021,1,0.001,1,0.001
27,931,0.931,41,0.041,26,0.026,2,0.002,,
28,930,0.93,42,0.042,26,0.026,2,0.002,,
29,929,0.929,42,0.042,24,0.024,3,0.003,2,0.002
30,925,0.925,46,0.046,28,0.028,1,0.001,,
31,924,0.924,44,0.044,27,0.027,4,0.004,1,0.001
32,914,0.914,56,0.056,28,0.028,2,0.002,,
33,913,0.913,55,0.055,27,0.027,4,0.004,1,0.001
34,910,0.91,59,0.059,28,0.028,1,0.001,2,0.002
35,907,0.907,58,0.058,32,0.032,3,0.003,,
36,905,0.905,61,0.061,31,0.031,2,0.002,1,0.001
37,904,0.904,60,0.06,32,0.032,3,0.003,1,0.001
38,904,0.904,63,0.063,32,0.032,,,1,0.001
39,903,0.903,62,0.062,33,0.033,1,0.001,1,0.001
40,902,0.902,60,0.06,33,0.033,3,0.003,2,0.002
41,902,0.902,61,0.061,35,0.035,2,0.002,,
42,902,0.902,61,0.061,33,0.033,2,0.002,2,0.002
43,900,0.9,60,0.06,35,0.035,4,0.004,1,0.001
44,898,0.898,65,0.065,35,0.035,1,0.001,1,0.001
45,896,0.896,66,0.066,33,0.033,1,0.001,4,0.004
46,894,0.894,65,0.065,37,0.037,3,0.003,1,0.001
47,889,0.889,67,0.067,41,0.041,3,0.003,,
48,887,0.887,70,0.07,40,0.04,2,0.002,1,0.001
49,884,0.884,70,0.07,41,0.041,4,0.004,1,0.001
50,883,0.883,72,0.072,42,0.042,3,0.003,,
51,881,0.881,75,0.075,41,0.041,2,0.002,1,0.001
52,871,0.871,84,0.084,42,0.042,3,0.003,,
53,871,0.871,82,0.082,40,0.04,5,0.005,2,0.002
54,868,0.868,88,0.088,41,0.041,2,0.002,1,0.001
55,855,0.855,99,0.099,40,0.04,4,0.004,2,0.002
56,850,0.85,105,0.105,43,0.043,2,0.002,,
57,849,0.849,104,0.104,43,0.043,4,0.004,,
58,846,0.846,106,0.106,43,0.043,5,0.005,,
59,845,0.845,107,0.107,42,0.042,5,0.005,1,0.001
60,841,0.841,111,0.111,42,0.042,5,0.005,1,0.001
61,839,0.839,114,0.114,42,0.042,4,0.004,1,0.001
62,832,0.832,116,0.116,47,0.047,5,0.005,,
63,829,0.829,121,0.121,46,0.046,3,0.003,1,0.001
64,818,0.818,130,0.13,47,0.047,4,0.004,1,0.001
65,817,0.817,128,0.128,48,0.048,6,0.006,1,0.001
66,814,0.814,133,0.133,48,0.048,4,0.004,1,0.001
67,813,0.813,137,0.137,47,0.047,1,0.001,2,0.002
68,801,0.801,142,0.142,49,0.049,7,0.007,1,0.001
69,792,0.792,156,0.156,50,0.05,2,0.002,,
70,791,0.791,154,0.154,48,0.048,5,0.005,2,0.002
71,787,0.787,157,0.157,50,0.05,5,0.005,1,0.001
72,786,0.786,154,0.154,50,0.05,9,0.009,1,0.001
73,783,0.783,161,0.161,51,0.051,4,0.004,1,0.001
74,781,0.781,161,0.161,51,0.051,5,0.005,2,0.002
75,775,0.775,163,0.163,53,0.053,8,0.008,1,0.001
76,770,0.77,172,0.172,51,0.051,4,0.004,3,0.003
77,768,0.768,170,0.17,53,0.053,7,0.007,2,0.002
