step,aaa-uninformed_num,aaa-uninformed_coverage,aaa-disinformed_num,aaa-disinformed_coverage,aaa-informed_num,aaa-informed_coverage,aaa-informing_num,aaa-informing_coverage,aaa-disinforming_num,aaa-disinforming_coverage
1,3849,0.998961847910719,2,5.190760446405398E-4,2,5.190760446405398E-4,,,,
2,3849,0.998961847910719,2,5.190760446405398E-4,2,5.190760446405398E-4,,,,
3,3849,0.998961847910719,2,5.190760446405398E-4,2,5.190760446405398E-4,,,,
4,3849,0.998961847910719,2,5.190760446405398E-4,2,5.190760446405398E-4,,,,
5,3849,0.998961847910719,2,5.190760446405398E-4,2,5.190760446405398E-4,,,,
6,3849,0.998961847910719,2,5.190760446405398E-4,1,2.595380223202699E-4,1,2.595380223202699E-4,,
7,3849,0.998961847910719,2,5.190760446405398E-4,2,5.190760446405398E-4,,,,
8,3849,0.998961847910719,1,2.595380223202699E-4,2,5.190760446405398E-4,,,1,2.595380223202699E-4
9,3847,0.9984427718660783,3,7.786140669608098E-4,1,2.595380223202699E-4,1,2.595380223202699E-4,1,2.595380223202699E-4
10,3817,0.9906566311964703,34,0.008824292758889176,2,5.190760446405398E-4,,,,
11,3817,0.9906566311964703,34,0.008824292758889176,2,5.190760446405398E-4,,,,
12,3817,0.9906566311964703,30,0.007786140669608098,,,2,5.190760446405398E-4,4,0.0010381520892810796
13,3800,0.9862444848170256,49,0.012717363093693226,2,5.190760446405398E-4,,,2,5.190760446405398E-4
14,3795,0.9849467947054243,51,0.013236439138333765,1,2.595380223202699E-4,1,2.595380223202699E-4,5,0.0012976901116013497
15,3780,0.9810537243706203,68,0.017648585517778353,2,5.190760446405398E-4,,,3,7.786140669608098E-4
16,3769,0.9781988061250974,77,0.019984427718660783,2,5.190760446405398E-4,,,5,0.0012976901116013497
17,3755,0.9745652738126136,90,0.023358422008824292,2,5.190760446405398E-4,,,6,0.0015572281339216196
18,3755,0.9745652738126136,90,0.023358422008824292,2,5.190760446405398E-4,,,6,0.0015572281339216196
19,3745,0.9719698935894109,98,0.02543472618738645,2,5.190760446405398E-4,,,8,0.002076304178562159
20,3731,0.968336361276927,110,0.02854918245522969,2,5.190760446405398E-4,,,10,0.0025953802232026994
21,3715,0.9641837529198027,127,0.03296132883467428,2,5.190760446405398E-4,,,9,0.0023358422008824295
22,3707,0.9621074487412405,130,0.03373994290163509,2,5.190760446405398E-4,,,14,0.003633532312483779
23,3656,0.9488710096029068,185,0.048014534129249935,2,5.190760446405398E-4,,,10,0.0025953802232026994
24,3652,0.9478328575136258,177,0.045938229950687776,2,5.190760446405398E-4,,,22,0.0057098364910459385
25,3609,0.9366727225538541,222,0.05761744095509992,2,5.190760446405398E-4,,,20,0.005190760446405399
26,3594,0.9327796522190501,237,0.06151051128990397,1,2.595380223202699E-4,1,2.595380223202699E-4,20,0.005190760446405399
27,3555,0.9226576693485595,279,0.0724111082273553,2,5.190760446405398E-4,,,17,0.004412146379444588
28,3535,0.9174669089021542,293,0.07604464053983909,2,5.190760446405398E-4,,,23,0.005969374513366208
29,3511,0.9112379963664677,319,0.0827926291201661,1,2.595380223202699E-4,1,2.595380223202699E-4,21,0.005450298468725669
30,3481,0.9034518556968596,345,0.08954061770049312,2,5.190760446405398E-4,,,25,0.006488450558006748
31,3450,0.8954061770049312,374,0.09706722034778095,2,5.190760446405398E-4,,,27,0.007007526602647288
32,3409,0.8847651180898002,409,0.1061510511289904,1,2.595380223202699E-4,1,2.595380223202699E-4,33,0.008564754736568907
33,3366,0.8736049831300285,456,0.11834933817804308,2,5.190760446405398E-4,,,29,0.007526602647287828
34,3347,0.8686737607059434,482,0.1250973267583701,1,2.595380223202699E-4,1,2.595380223202699E-4,22,0.0057098364910459385
35,3310,0.8590708538800934,505,0.1310667012717363,2,5.190760446405398E-4,,,36,0.009343368803529718
36,3255,0.8447962626524785,565,0.1466389826109525,1,2.595380223202699E-4,1,2.595380223202699E-4,31,0.008045678691928368
37,3223,0.83649104593823,588,0.15260835712431872,2,5.190760446405398E-4,,,40,0.010381520892810797
38,3191,0.8281858292239813,627,0.16273033999480924,2,5.190760446405398E-4,,,33,0.008564754736568907
39,3160,0.8201401505320529,645,0.1674020243965741,1,2.595380223202699E-4,1,2.595380223202699E-4,46,0.011938749026732417
40,3114,0.8082014015053205,692,0.1796003114456268,2,5.190760446405398E-4,,,45,0.011679211004412146
41,3055,0.7928886581884246,752,0.19517259278484297,2,5.190760446405398E-4,,,44,0.011419672982091877
42,3011,0.7814689852063327,799,0.20737087983389565,2,5.190760446405398E-4,,,41,0.010641058915131067
43,2978,0.7729042304697639,828,0.21489748248118348,2,5.190760446405398E-4,,,45,0.011679211004412146
44,2942,0.7635608616662342,872,0.22631715546327538,1,2.595380223202699E-4,1,2.595380223202699E-4,37,0.009602906825849987
45,2909,0.7549961069296652,887,0.23021022579807943,2,5.190760446405398E-4,,,55,0.014274591227614845
46,2870,0.7448741240591746,923,0.23955359460160913,1,2.595380223202699E-4,1,2.595380223202699E-4,58,0.015053205294575656
